Subject,Date,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
P0701,2019-05-10,75.24537893,1253.300404,73.38156692,31.81537589
P0702,2019-05-10,43.03139013,699.1246361,83.56005136,32.42605954
P0703,2019-05-10,82.15733166,817.0694944,75.44521732,32.22084452
P0704,2019-05-10,83.66113281,1271.244474,73.4424104,31.74490688
P0705,2019-05-10,36.4887721,1232.077366,77.83949841,33.38591431
P0706,2019-05-10,71.50123457,,,
P0707,2019-05-10,61.34634146,1248.503913,80.00655525,31.3658833
P0708,2019-05-10,74.71022472,1162.733779,76.64504486,30.02685011
P0709,2019-05-10,42.36963696,1346.01046,76.86252174,32.49327803
P0710,2019-05-10,65.18939394,1316.972561,84.25010627,32.24948819
